,accuracy_2d_0c,accuracy_2d_1c,accuracy_2d_2c,accuracy_3d_0c,accuracy_3d_1c,accuracy_3d_2c,accuracy_3d_3c,accuracy_test,accuracy_train,batch_size,beta1,beta2,block_size,checkpoint_name,data_dir,decoder,dropout,eval_interval,lr_decay_iters,max_evals_without_improving,max_iters,max_loss_for_early_stopping,max_lr,min_lr,model_dir,n_2d_0c,n_2d_1c,n_2d_2c,n_3d_0c,n_3d_1c,n_3d_2c,n_3d_3c,n_correct_2d_0c,n_correct_2d_1c,n_correct_2d_2c,n_correct_3d_0c,n_correct_3d_1c,n_correct_3d_2c,n_correct_3d_3c,n_correct_test,n_correct_train,n_digits,n_embd,n_head,n_layer,n_test,n_train,n_val,name,resample_data,results_dir,resume,seed,task,test_batch_size,use_delimiter,warmup_iters,weight_decay
12,0.6673651126244107,0.9134078212290504,0.923318667504714,0.9572380952380952,0.985424532443586,0.9898643957976582,0.9817163752713975,0.9690714285714286,,64,0.9,0.99,64,10k_plain_addition_encoder_1.pt,data/addition,False,0.0,100,5000,10,8000,1.1,0.0005,5e-05,models,1909,2864,1591,10500,22778,21607,8751,1274,2616,1469,10051,22446,21388,8591,67835,,3,384,6,6,70000,10000,10000,10k_plain_addition_encoder_1,True,results/10k,False,1,plain_addition,2048,True,100,0.1
13,0.5275013095861708,0.765013966480447,0.9553739786297926,0.9126666666666666,0.953509811668642,0.9751006618225576,0.9746285714285714,0.9374,,64,0.9,0.99,64,10k_plain_addition_encoder_0.pt,data/addition,False,0.0,100,5000,10,8000,1.1,0.0005,5e-05,models,1909,2864,1591,10500,22779,21607,8750,1007,2191,1520,9583,21720,21069,8528,65618,,3,384,6,6,70000,10000,10000,10k_plain_addition_encoder_0,True,results/10k,False,0,plain_addition,2048,True,100,0.1
14,0.9413305395495024,0.8917597765363129,0.9094908862350722,0.9433333333333334,0.9571535185916852,0.9641319942611192,0.9563428571428572,0.9529428571428572,,64,0.9,0.99,64,10k_reversed_addition_decoder_2.pt,data/addition,True,0.0,100,5000,10,8000,1.1,0.0005,5e-05,models,1909,2864,1591,10500,22779,21607,8750,1797,2554,1447,9905,21803,20832,8368,66706,,3,384,6,6,70000,10000,10000,10k_reversed_addition_decoder_2,True,results/10k,False,2,reversed_addition,2048,True,100,0.1
15,0.8554216867469879,0.861731843575419,0.8799497171590195,0.966952380952381,0.9841520698889328,0.986300735872634,0.988,0.9718285714285714,,64,0.9,0.99,64,10k_plain_addition_encoder_2.pt,data/addition,False,0.0,100,5000,10,8000,1.1,0.0005,5e-05,models,1909,2864,1591,10500,22779,21607,8750,1633,2468,1400,10153,22418,21311,8645,68028,,3,384,6,6,70000,10000,10000,10k_plain_addition_encoder_2,True,results/10k,False,2,plain_addition,2048,True,100,0.1
16,0.9795704557359874,0.9594972067039106,0.9226901319924576,0.9681904761904762,0.9773465624725612,0.9772296015180264,0.9848017369443492,0.9749571428571427,,64,0.9,0.99,64,10k_reversed_addition_decoder_1.pt,data/addition,True,0.0,100,5000,10,8000,1.1,0.0005,5e-05,models,1909,2864,1591,10500,22778,21607,8751,1870,2748,1468,10166,22262,21115,8618,68247,,3,384,6,6,70000,10000,10000,10k_reversed_addition_decoder_1,True,results/10k,False,1,reversed_addition,2048,True,100,0.1
17,0.997904662126768,1.0,0.9880578252671276,0.9945714285714286,0.9969708942446992,0.9989818114499932,0.9986285714285714,0.9973857142857144,,64,0.9,0.99,64,10k_reversed_addition_decoder_0.pt,data/addition,True,0.0,100,5000,10,8000,1.1,0.0005,5e-05,models,1909,2864,1591,10500,22779,21607,8750,1905,2864,1572,10443,22710,21585,8738,69817,,3,384,6,6,70000,10000,10000,10k_reversed_addition_decoder_0,True,results/10k,False,0,reversed_addition,2048,True,100,0.1
18,0.7752750130958617,0.88268156424581,0.8988057825267127,0.8726666666666667,0.9142593730792872,0.946822788911001,0.9614901154153812,0.9185428571428572,,64,0.9,0.99,64,10k_plain_addition_decoder_1.pt,data/addition,True,0.0,100,5000,10,8000,1.1,0.0005,5e-05,models,1909,2864,1591,10500,22778,21607,8751,1480,2528,1430,9163,20825,20458,8414,64298,,3,384,6,6,70000,10000,10000,10k_plain_addition_decoder_1,True,results/10k,False,1,plain_addition,2048,True,100,0.1
19,0.8386589837611315,0.8669692737430168,0.8956631049654306,0.9115238095238096,0.9367838798893718,0.9314111167677142,0.9670857142857144,0.9286571428571428,,64,0.9,0.99,64,10k_reversed_addition_decoder_4.pt,data/addition,True,0.0,100,5000,10,8000,1.1,0.0005,5e-05,models,1909,2864,1591,10500,22779,21607,8750,1601,2483,1425,9571,21339,20125,8462,65006,,3,384,6,6,70000,10000,10000,10k_reversed_addition_decoder_4,True,results/10k,False,4,reversed_addition,2048,True,100,0.1
20,0.9926663174436878,0.9979050279329608,1.0,0.9895238095238096,0.9953902888752304,0.9916234727878565,0.9933714285714286,0.9932285714285716,,64,0.9,0.99,64,15k_reversed_addition_decoder_0.pt,data/addition,True,0.0,100,5000,10,8000,1.1,0.0005,5e-05,models,1909,2864,1591,10500,22778,21608,8750,1895,2858,1591,10390,22673,21427,8692,69526,,3,384,6,6,70000,15000,10000,15k_reversed_addition_decoder_0,True,results/15k,False,0,reversed_addition,2048,True,100,0.1
21,0.8842325825039288,0.916550279329609,0.8793211816467631,0.9689523809523808,0.9838440600579508,0.9913457978526472,0.9905142857142856,0.9769142857142856,,64,0.9,0.99,64,15k_reversed_addition_decoder_2.pt,data/addition,True,0.0,100,5000,10,8000,1.1,0.0005,5e-05,models,1909,2864,1591,10500,22778,21608,8750,1688,2625,1399,10174,22410,21421,8667,68384,,3,384,6,6,70000,15000,10000,15k_reversed_addition_decoder_2,True,results/15k,False,2,reversed_addition,2048,True,100,0.1
22,0.7894185437401781,0.8676675977653632,0.9428032683846638,0.9498095238095238,0.9743173237334268,0.9860699740836728,0.9865142857142856,0.9656714285714286,,64,0.9,0.99,64,15k_plain_addition_encoder_3.pt,data/addition,False,0.0,100,5000,10,8000,1.1,0.0005,5e-05,models,1909,2864,1591,10500,22778,21608,8750,1507,2485,1500,9973,22193,21307,8632,67597,,3,384,6,6,70000,15000,10000,15k_plain_addition_encoder_3,True,results/15k,False,3,plain_addition,2048,True,100,0.1
23,0.7317967522262965,0.6958798882681564,0.7498428661219358,0.9031428571428572,0.94477127052419,0.9625601629026288,0.9842285714285716,0.9285285714285716,,64,0.9,0.99,64,15k_plain_addition_encoder_2.pt,data/addition,False,0.0,100,5000,10,8000,1.1,0.0005,5e-05,models,1909,2864,1591,10500,22778,21608,8750,1397,1993,1193,9483,21520,20799,8612,64997,,3,384,6,6,70000,15000,10000,15k_plain_addition_encoder_2,True,results/15k,False,2,plain_addition,2048,True,100,0.1
