"Step","clutrr_finetuning_encoder - val_accuracy","clutrr_finetuning_encoder - val_accuracy__MIN","clutrr_finetuning_encoder - val_accuracy__MAX","clutrr_finetuning_decoder - val_accuracy","clutrr_finetuning_decoder - val_accuracy__MIN","clutrr_finetuning_decoder - val_accuracy__MAX"
"4900","0.9850905218317358","0.9850905218317358","0.9850905218317358","0.9804756833510827","0.9804756833510827","0.9804756833510827"
"4950","0.987220447284345","0.987220447284345","0.987220447284345","0.9815406460773873","0.9815406460773873","0.9815406460773873"
"5000","0.9868654597089102","0.9868654597089102","0.9868654597089102","0.9829605963791267","0.9829605963791267","0.9829605963791267"
"5050","0.9889953851615193","0.9889953851615193","0.9889953851615193","0.984735534256301","0.984735534256301","0.984735534256301"
"5100","0.9911253106141285","0.9911253106141285","0.9911253106141285","0.9850905218317358","0.9850905218317358","0.9850905218317358"
"5150","0.9914802981895634","0.9914802981895634","0.9914802981895634","0.9843805466808662","0.9843805466808662","0.9843805466808662"
"5200","0.9911253106141285","0.9911253106141285","0.9911253106141285","0.9808306709265175","0.9808306709265175","0.9808306709265175"
"5250","0.9882854100106496","0.9882854100106496","0.9882854100106496","0.9826056088036919","0.9826056088036919","0.9826056088036919"
"5300","0.9914802981895634","0.9914802981895634","0.9914802981895634","0.9787007454739084","0.9787007454739084","0.9787007454739084"
"5350","0.9914802981895634","0.9914802981895634","0.9914802981895634","0.9818956336528222","0.9818956336528222","0.9818956336528222"
"5400","0.9932552360667377","0.9932552360667377","0.9932552360667377","0.9833155839545616","0.9833155839545616","0.9833155839545616"
"5450","0.9904153354632588","0.9904153354632588","0.9904153354632588","0.9850905218317358","0.9850905218317358","0.9850905218317358"
"5500","0.9907703230386936","0.9907703230386936","0.9907703230386936","0.9861554845580405","0.9861554845580405","0.9861554845580405"
"5550","0.9921902733404331","0.9921902733404331","0.9921902733404331","0.984735534256301","0.984735534256301","0.984735534256301"
"5600","0.9914802981895634","0.9914802981895634","0.9914802981895634","0.9879304224352148","0.9879304224352148","0.9879304224352148"
"5650","0.9907703230386936","0.9907703230386936","0.9907703230386936","0.9897053603123891","0.9897053603123891","0.9897053603123891"
"5700","0.9936102236421726","0.9936102236421726","0.9936102236421726","0.9843805466808662","0.9843805466808662","0.9843805466808662"
"5750","0.9911253106141285","0.9911253106141285","0.9911253106141285","0.9854455094071708","0.9854455094071708","0.9854455094071708"
"5800","0.9914802981895634","0.9914802981895634","0.9914802981895634","0.9875754348597799","0.9875754348597799","0.9875754348597799"
"5850","0.9921902733404331","0.9921902733404331","0.9921902733404331","0.9889953851615193","0.9889953851615193","0.9889953851615193"
"5900","0.9921902733404331","0.9921902733404331","0.9921902733404331","0.9861554845580405","0.9861554845580405","0.9861554845580405"
"5950","0.9946751863684771","0.9946751863684771","0.9946751863684771","0.987220447284345","0.987220447284345","0.987220447284345"
"6000","0.9939652112176074","0.9939652112176074","0.9939652112176074","0.9858004969826056","0.9858004969826056","0.9858004969826056"
"6050","0.9943201987930422","0.9943201987930422","0.9943201987930422","0.9854455094071708","0.9854455094071708","0.9854455094071708"
"6100","0.9936102236421726","0.9936102236421726","0.9936102236421726","0.9868654597089102","0.9868654597089102","0.9868654597089102"
"6150","0.9943201987930422","0.9943201987930422","0.9943201987930422","0.9858004969826056","0.9858004969826056","0.9858004969826056"
"6200","0.9932552360667377","0.9932552360667377","0.9932552360667377","0.9882854100106496","0.9882854100106496","0.9882854100106496"
"6250","0.9946751863684771","0.9946751863684771","0.9946751863684771","0.9868654597089102","0.9868654597089102","0.9868654597089102"
"6300","0.9943201987930422","0.9943201987930422","0.9943201987930422","0.9886403975860845","0.9886403975860845","0.9886403975860845"
"6350","0.9936102236421726","0.9936102236421726","0.9936102236421726","0.9907703230386936","0.9907703230386936","0.9907703230386936"
"6400","0.9921902733404331","0.9921902733404331","0.9921902733404331","0.9897053603123891","0.9897053603123891","0.9897053603123891"
"6450","0.9914802981895634","0.9914802981895634","0.9914802981895634","0.9900603478878239","0.9900603478878239","0.9900603478878239"
"6500","0.9939652112176074","0.9939652112176074","0.9939652112176074","0.9907703230386936","0.9907703230386936","0.9907703230386936"
"6550","0.9943201987930422","0.9943201987930422","0.9943201987930422","0.9882854100106496","0.9882854100106496","0.9882854100106496"
"6600","0.9943201987930422","0.9943201987930422","0.9943201987930422","0.9889953851615193","0.9889953851615193","0.9889953851615193"
"6650","0.9929002484913028","0.9929002484913028","0.9929002484913028","0.9900603478878239","0.9900603478878239","0.9900603478878239"
"6700","0.9914802981895634","0.9914802981895634","0.9914802981895634","0.9850905218317358","0.9850905218317358","0.9850905218317358"
"6750","0.9929002484913028","0.9929002484913028","0.9929002484913028","0.9854455094071708","0.9854455094071708","0.9854455094071708"
"6800","0.9943201987930422","0.9943201987930422","0.9943201987930422","0.9875754348597799","0.9875754348597799","0.9875754348597799"
"6850","0.9925452609158679","0.9925452609158679","0.9925452609158679","0.9893503727369543","0.9893503727369543","0.9893503727369543"
"6900","0.9943201987930422","0.9943201987930422","0.9943201987930422","0.9879304224352148","0.9879304224352148","0.9879304224352148"
"6950","0.9936102236421726","0.9936102236421726","0.9936102236421726","0.9879304224352148","0.9879304224352148","0.9879304224352148"
"7000","0.9921902733404331","0.9921902733404331","0.9921902733404331","0.9879304224352148","0.9879304224352148","0.9879304224352148"
"7050","0.9925452609158679","0.9925452609158679","0.9925452609158679","0.9886403975860845","0.9886403975860845","0.9886403975860845"
"7100","0.9921902733404331","0.9921902733404331","0.9921902733404331","0.9858004969826056","0.9858004969826056","0.9858004969826056"
"7150","0.9925452609158679","0.9925452609158679","0.9925452609158679","0.9900603478878239","0.9900603478878239","0.9900603478878239"
"7200","0.9925452609158679","0.9925452609158679","0.9925452609158679","0.9897053603123891","0.9897053603123891","0.9897053603123891"
"7250","0.9921902733404331","0.9921902733404331","0.9921902733404331","0.9893503727369543","0.9893503727369543","0.9893503727369543"
"7300","0.9946751863684771","0.9946751863684771","0.9946751863684771","0.9886403975860845","0.9886403975860845","0.9886403975860845"
"7350","0.9953851615193469","0.9953851615193469","0.9953851615193469","0.984735534256301","0.984735534256301","0.984735534256301"
"7400","0.9929002484913028","0.9929002484913028","0.9929002484913028","0.9900603478878239","0.9900603478878239","0.9900603478878239"
"7450","0.9953851615193469","0.9953851615193469","0.9953851615193469","0.9886403975860845","0.9886403975860845","0.9886403975860845"
"7500","0.9932552360667377","0.9932552360667377","0.9932552360667377","0.9900603478878239","0.9900603478878239","0.9900603478878239"
"7550","0.9932552360667377","0.9932552360667377","0.9932552360667377","0.9875754348597799","0.9875754348597799","0.9875754348597799"
"7600","0.9936102236421726","0.9936102236421726","0.9936102236421726","0.9865104721334753","0.9865104721334753","0.9865104721334753"
"7650","0.9950301739439119","0.9950301739439119","0.9950301739439119","0.9868654597089102","0.9868654597089102","0.9868654597089102"
"7700","0.9957401490947817","0.9957401490947817","0.9957401490947817","0.9840255591054313","0.9840255591054313","0.9840255591054313"
"7750","0.9932552360667377","0.9932552360667377","0.9932552360667377","0.9875754348597799","0.9875754348597799","0.9875754348597799"
"7800","0.9939652112176074","0.9939652112176074","0.9939652112176074","0.9889953851615193","0.9889953851615193","0.9889953851615193"
"7850","0.9943201987930422","0.9943201987930422","0.9943201987930422","0.9904153354632588","0.9904153354632588","0.9904153354632588"
"7900","0.9943201987930422","0.9943201987930422","0.9943201987930422","0.9868654597089102","0.9868654597089102","0.9868654597089102"
"7950","0.9925452609158679","0.9925452609158679","0.9925452609158679","0.9889953851615193","0.9889953851615193","0.9889953851615193"
"8000","0.9914802981895634","0.9914802981895634","0.9914802981895634","0.9893503727369543","0.9893503727369543","0.9893503727369543"
"8050","0.9932552360667377","0.9932552360667377","0.9932552360667377","0.9904153354632588","0.9904153354632588","0.9904153354632588"
"8100","0.9925452609158679","0.9925452609158679","0.9925452609158679","0.9886403975860845","0.9886403975860845","0.9886403975860845"
"8150","0.9943201987930422","0.9943201987930422","0.9943201987930422","0.9889953851615193","0.9889953851615193","0.9889953851615193"
"8200","0.9936102236421726","0.9936102236421726","0.9936102236421726","0.9889953851615193","0.9889953851615193","0.9889953851615193"
"8250","0.9932552360667377","0.9932552360667377","0.9932552360667377","0.987220447284345","0.987220447284345","0.987220447284345"
"8300","0.9943201987930422","0.9943201987930422","0.9943201987930422","0.987220447284345","0.987220447284345","0.987220447284345"
"8350","0.9943201987930422","0.9943201987930422","0.9943201987930422","0.9886403975860845","0.9886403975860845","0.9886403975860845"
"8400","0.9943201987930422","0.9943201987930422","0.9943201987930422","0.9886403975860845","0.9886403975860845","0.9886403975860845"
"8450","0.9936102236421726","0.9936102236421726","0.9936102236421726","0.9879304224352148","0.9879304224352148","0.9879304224352148"
"8500","0.9925452609158679","0.9925452609158679","0.9925452609158679","0.9882854100106496","0.9882854100106496","0.9882854100106496"
"8550","0.9946751863684771","0.9946751863684771","0.9946751863684771","0.9900603478878239","0.9900603478878239","0.9900603478878239"
"8600","0.9964501242456514","0.9964501242456514","0.9964501242456514","0.9879304224352148","0.9879304224352148","0.9879304224352148"
"8650","0.9939652112176074","0.9939652112176074","0.9939652112176074","0.9904153354632588","0.9904153354632588","0.9904153354632588"
"8700","0.9939652112176074","0.9939652112176074","0.9939652112176074","0.9879304224352148","0.9879304224352148","0.9879304224352148"
"8750","0.9939652112176074","0.9939652112176074","0.9939652112176074","0.9875754348597799","0.9875754348597799","0.9875754348597799"
"8800","0.9950301739439119","0.9950301739439119","0.9950301739439119","0.9900603478878239","0.9900603478878239","0.9900603478878239"
"8850","0.9950301739439119","0.9950301739439119","0.9950301739439119","0.9861554845580405","0.9861554845580405","0.9861554845580405"
"8900","0.9929002484913028","0.9929002484913028","0.9929002484913028","0.9897053603123891","0.9897053603123891","0.9897053603123891"
"8950","0.9950301739439119","0.9950301739439119","0.9950301739439119","0.9882854100106496","0.9882854100106496","0.9882854100106496"
"9000","0.9943201987930422","0.9943201987930422","0.9943201987930422","0.9886403975860845","0.9886403975860845","0.9886403975860845"
"9050","0.9957401490947817","0.9957401490947817","0.9957401490947817","0.9897053603123891","0.9897053603123891","0.9897053603123891"
"9100","0.9939652112176074","0.9939652112176074","0.9939652112176074","0.9882854100106496","0.9882854100106496","0.9882854100106496"
"9150","0.9950301739439119","0.9950301739439119","0.9950301739439119","0.9882854100106496","0.9882854100106496","0.9882854100106496"
"9200","0.9957401490947817","0.9957401490947817","0.9957401490947817","0.9882854100106496","0.9882854100106496","0.9882854100106496"
"9250","0.9960951366702165","0.9960951366702165","0.9960951366702165","0.987220447284345","0.987220447284345","0.987220447284345"
