"Step","clutrr_finetuning_7.5k_encoder - val_accuracy","clutrr_finetuning_7.5k_encoder - val_accuracy__MIN","clutrr_finetuning_7.5k_encoder - val_accuracy__MAX","clutrr_finetuning_7.5k_decoder - val_accuracy","clutrr_finetuning_7.5k_decoder - val_accuracy__MIN","clutrr_finetuning_7.5k_decoder - val_accuracy__MAX","clutrr_finetuning_5k_encoder - val_accuracy","clutrr_finetuning_5k_encoder - val_accuracy__MIN","clutrr_finetuning_5k_encoder - val_accuracy__MAX","clutrr_finetuning_5k_decoder - val_accuracy","clutrr_finetuning_5k_decoder - val_accuracy__MIN","clutrr_finetuning_5k_decoder - val_accuracy__MAX","clutrr_finetuning_2.5k_encoder - val_accuracy","clutrr_finetuning_2.5k_encoder - val_accuracy__MIN","clutrr_finetuning_2.5k_encoder - val_accuracy__MAX","clutrr_finetuning_2.5k_decoder - val_accuracy","clutrr_finetuning_2.5k_decoder - val_accuracy__MIN","clutrr_finetuning_2.5k_decoder - val_accuracy__MAX","clutrr_finetuning_10k_encoder - val_accuracy","clutrr_finetuning_10k_encoder - val_accuracy__MIN","clutrr_finetuning_10k_encoder - val_accuracy__MAX","clutrr_finetuning_10k_decoder - val_accuracy","clutrr_finetuning_10k_decoder - val_accuracy__MIN","clutrr_finetuning_10k_decoder - val_accuracy__MAX"
"1050","0.8235711750088747","0.8235711750088747","0.8235711750088747","0.7926872559460418","0.7926872559460418","0.7926872559460418","0.6595669151579695","0.6595669151579695","0.6595669151579695","0.6577919772807952","0.6577919772807952","0.6577919772807952","0.4103656372026979","0.4103656372026979","0.4103656372026979","0.4245651402200923","0.4245651402200923","0.4245651402200923","0.9559815406460774","0.9559815406460774","0.9559815406460774","0.9481718139865105","0.9481718139865105","0.9481718139865105"
"1100","0.8093716719914803","0.8093716719914803","0.8093716719914803","0.8129215477458289","0.8129215477458289","0.8129215477458289","0.6968406105786298","0.6968406105786298","0.6968406105786298","0.6762513312034079","0.6762513312034079","0.6762513312034079","0.40894568690095845","0.40894568690095845","0.40894568690095845","0.420305289314874","0.420305289314874","0.420305289314874","0.9563365282215123","0.9563365282215123","0.9563365282215123","0.9588214412495563","0.9588214412495563","0.9588214412495563"
"1150","0.8313809016684416","0.8313809016684416","0.8313809016684416","0.822861199858005","0.822861199858005","0.822861199858005","0.6932907348242812","0.6932907348242812","0.6932907348242812","0.6599219027334043","0.6599219027334043","0.6599219027334043","0.41356052538161164","0.41356052538161164","0.41356052538161164","0.41817536386226484","0.41817536386226484","0.41817536386226484","0.9598864039758609","0.9598864039758609","0.9598864039758609","0.9527866524671637","0.9527866524671637","0.9527866524671637"
"1200","0.8288959886403976","0.8288959886403976","0.8288959886403976","0.8086616968406106","0.8086616968406106","0.8086616968406106","0.6876109336173234","0.6876109336173234","0.6876109336173234","0.6716364927227547","0.6716364927227547","0.6716364927227547","0.41178558750443733","0.41178558750443733","0.41178558750443733","0.41995030173943915","0.41995030173943915","0.41995030173943915","0.9581114660986866","0.9581114660986866","0.9581114660986866","0.9538516151934683","0.9538516151934683","0.9538516151934683"
"1250","0.8313809016684416","0.8313809016684416","0.8313809016684416","0.8178913738019169","0.8178913738019169","0.8178913738019169","0.6954206602768903","0.6954206602768903","0.6954206602768903","0.6737664181753639","0.6737664181753639","0.6737664181753639","0.41178558750443733","0.41178558750443733","0.41178558750443733","0.42314518991835287","0.42314518991835287","0.42314518991835287","0.9687610933617323","0.9687610933617323","0.9687610933617323","0.9552715654952076","0.9552715654952076","0.9552715654952076"
"1300","0.8391906283280085","0.8391906283280085","0.8391906283280085","0.8012069577564785","0.8012069577564785","0.8012069577564785","0.6940007099751508","0.6940007099751508","0.6940007099751508","0.6730564430244942","0.6730564430244942","0.6730564430244942","0.4142705005324814","0.4142705005324814","0.4142705005324814","0.425275115370962","0.425275115370962","0.425275115370962","0.9659211927582535","0.9659211927582535","0.9659211927582535","0.9549165779197728","0.9549165779197728","0.9549165779197728"
"1350","0.8349307774227902","0.8349307774227902","0.8349307774227902","0.8313809016684416","0.8313809016684416","0.8313809016684416","0.6755413560525382","0.6755413560525382","0.6755413560525382","0.6503372381966631","0.6503372381966631","0.6503372381966631","0.3951011714589989","0.3951011714589989","0.3951011714589989","0.4245651402200923","0.4245651402200923","0.4245651402200923","0.969471068512602","0.969471068512602","0.969471068512602","0.9652112176073837","0.9652112176073837","0.9652112176073837"
"1400","0.8384806531771388","0.8384806531771388","0.8384806531771388","0.8083067092651757","0.8083067092651757","0.8083067092651757","0.6826411075612353","0.6826411075612353","0.6826411075612353","0.6890308839190629","0.6890308839190629","0.6890308839190629","0.3961661341853035","0.3961661341853035","0.3961661341853035","0.4263400780972666","0.4263400780972666","0.4263400780972666","0.9755058572949947","0.9755058572949947","0.9755058572949947","0.964501242456514","0.964501242456514","0.964501242456514"
"1450","0.8487752928647497","0.8487752928647497","0.8487752928647497","0.8320908768193114","0.8320908768193114","0.8320908768193114","0.6755413560525382","0.6755413560525382","0.6755413560525382","0.6858359957401491","0.6858359957401491","0.6858359957401491","0.40752573659921904","0.40752573659921904","0.40752573659921904","0.41249556265530707","0.41249556265530707","0.41249556265530707","0.9726659566915158","0.9726659566915158","0.9726659566915158","0.966986155484558","0.966986155484558","0.966986155484558"
"1500","0.8356407525736599","0.8356407525736599","0.8356407525736599","0.827831025914093","0.827831025914093","0.827831025914093","0.6737664181753639","0.6737664181753639","0.6737664181753639","0.6883209087681931","0.6883209087681931","0.6883209087681931","0.4068157614483493","0.4068157614483493","0.4068157614483493","0.4309549165779198","0.4309549165779198","0.4309549165779198","0.9751508697195598","0.9751508697195598","0.9751508697195598","0.9616613418530351","0.9616613418530351","0.9616613418530351"
