"Step","count3_medium_encoder_0_resumed - sequence_accuracy","count3_medium_encoder_0_resumed - sequence_accuracy__MIN","count3_medium_encoder_0_resumed - sequence_accuracy__MAX"
"91200","0.79328125","0.79328125","0.79328125"
"91300","0.84640625","0.84640625","0.84640625"
"91400","0.82828125","0.82828125","0.82828125"
"91500","0.82921875","0.82921875","0.82921875"
"91600","0.9321875","0.9321875","0.9321875"
"91700","0.871875","0.871875","0.871875"
"91800","0.8615625","0.8615625","0.8615625"
"91900","0.40890625","0.40890625","0.40890625"
"92000","0.95125","0.95125","0.95125"
"92100","0.799375","0.799375","0.799375"
"92200","0.90328125","0.90328125","0.90328125"
"92300","0.83515625","0.83515625","0.83515625"
"92400","0","0","0"
"92500","0.9565625","0.9565625","0.9565625"
"92600","0.9565625","0.9565625","0.9565625"
"92700","0.9078125","0.9078125","0.9078125"
"92800","0.73859375","0.73859375","0.73859375"
"92900","0.86453125","0.86453125","0.86453125"
"93000","0.83578125","0.83578125","0.83578125"
"93100","0.83359375","0.83359375","0.83359375"
"93200","0.84125","0.84125","0.84125"
"93300","0.8984375","0.8984375","0.8984375"
"93400","0.849375","0.849375","0.849375"
"93500","0.90015625","0.90015625","0.90015625"
"93600","0.85765625","0.85765625","0.85765625"
"93700","0.82921875","0.82921875","0.82921875"
"93800","0.95984375","0.95984375","0.95984375"
"93900","0.9671875","0.9671875","0.9671875"
"94000","0.92546875","0.92546875","0.92546875"
"94100","0.84875","0.84875","0.84875"
"94200","0.87078125","0.87078125","0.87078125"
"94300","0.77609375","0.77609375","0.77609375"
"94400","0.90234375","0.90234375","0.90234375"
"94500","0.891875","0.891875","0.891875"
"94600","0.8378125","0.8378125","0.8378125"
"94700","0.81140625","0.81140625","0.81140625"
"94800","0.8940625","0.8940625","0.8940625"
"94900","0.8996875","0.8996875","0.8996875"
"95000","0.89890625","0.89890625","0.89890625"
"95100","0.8465625","0.8465625","0.8465625"
"95200","0.894375","0.894375","0.894375"
"95300","0.851875","0.851875","0.851875"
"95400","0.925625","0.925625","0.925625"
"95500","0.6665625","0.6665625","0.6665625"
"95600","0.8984375","0.8984375","0.8984375"
"95700","0.84765625","0.84765625","0.84765625"
"95800","0.87375","0.87375","0.87375"
"95900","0.3078125","0.3078125","0.3078125"
"96000","0.96125","0.96125","0.96125"
"96100","0.9596875","0.9596875","0.9596875"
"96200","0.93453125","0.93453125","0.93453125"
"96300","0.8525","0.8525","0.8525"
"96400","0.8778125","0.8778125","0.8778125"
"96500","0.9190625","0.9190625","0.9190625"
"96600","0.83828125","0.83828125","0.83828125"
"96700","0.9221875","0.9221875","0.9221875"
"96800","0.82921875","0.82921875","0.82921875"
"96900","0.8684375","0.8684375","0.8684375"
"97000","0.71859375","0.71859375","0.71859375"
"97100","0.91359375","0.91359375","0.91359375"
"97200","0.9171875","0.9171875","0.9171875"
"97300","0.75640625","0.75640625","0.75640625"
"97400","0.88421875","0.88421875","0.88421875"
"97500","0.92828125","0.92828125","0.92828125"
"97600","0.84625","0.84625","0.84625"
"97700","0.92640625","0.92640625","0.92640625"
"97800","0.7375","0.7375","0.7375"
"97900","0.96453125","0.96453125","0.96453125"
"98000","0.970625","0.970625","0.970625"
"98100","0.9396875","0.9396875","0.9396875"
"98200","0.88578125","0.88578125","0.88578125"
"98300","0.939375","0.939375","0.939375"
"98400","0.939375","0.939375","0.939375"
"98500","0.001875","0.001875","0.001875"
"98600","0.96828125","0.96828125","0.96828125"
"98700","0.96328125","0.96328125","0.96328125"
"98800","0.93859375","0.93859375","0.93859375"
"98900","0.87734375","0.87734375","0.87734375"
"99000","0.93265625","0.93265625","0.93265625"
"99100","0.83046875","0.83046875","0.83046875"
"99200","0.901875","0.901875","0.901875"
"99300","0.89890625","0.89890625","0.89890625"
"99400","0.8828125","0.8828125","0.8828125"
"99500","0.96875","0.96875","0.96875"
"99600","0.96359375","0.96359375","0.96359375"
"99700","0.95453125","0.95453125","0.95453125"
"99800","0.9121875","0.9121875","0.9121875"
"99900","0.9496875","0.9496875","0.9496875"
"100000","0.93203125","0.93203125","0.93203125"
"100100","0.92703125","0.92703125","0.92703125"
"100200","0.93609375","0.93609375","0.93609375"
"100300","0.90921875","0.90921875","0.90921875"
"100400","0.90125","0.90125","0.90125"
"100500","0.9103125","0.9103125","0.9103125"
"100600","0.925","0.925","0.925"
"100700","0.920625","0.920625","0.920625"
"100800","0.9065625","0.9065625","0.9065625"
"100900","0.97671875","0.97671875","0.97671875"
"101000","0.97140625","0.97140625","0.97140625"
"101100","0.96640625","0.96640625","0.96640625"
"101200","0.92984375","0.92984375","0.92984375"
"101300","0.8975","0.8975","0.8975"
"101400","0.950625","0.950625","0.950625"
"101500","0.9640625","0.9640625","0.9640625"
"101600","0.9740625","0.9740625","0.9740625"
"101700","0.9765625","0.9765625","0.9765625"
"101800","0.91546875","0.91546875","0.91546875"
"101900","0.9096875","0.9096875","0.9096875"
"102000","0.94734375","0.94734375","0.94734375"
