"Step","count3_medium_encoder_0_resumed_2 - sequence_accuracy","count3_medium_encoder_0_resumed_2 - sequence_accuracy__MIN","count3_medium_encoder_0_resumed_2 - sequence_accuracy__MAX"
"135200","0.980625","0.980625","0.980625"
"135300","0.9471875","0.9471875","0.9471875"
"135400","0.97","0.97","0.97"
"135500","0.9584375","0.9584375","0.9584375"
"135600","0.97125","0.97125","0.97125"
"135700","0.89421875","0.89421875","0.89421875"
"135800","0.93171875","0.93171875","0.93171875"
"135900","0.9271875","0.9271875","0.9271875"
"136000","0.9625","0.9625","0.9625"
"136100","0.951875","0.951875","0.951875"
"136200","0.9240625","0.9240625","0.9240625"
"136300","0.93859375","0.93859375","0.93859375"
"136400","0.98328125","0.98328125","0.98328125"
"136500","0.9840625","0.9840625","0.9840625"
"136600","0.95328125","0.95328125","0.95328125"
"136700","0.9640625","0.9640625","0.9640625"
"136800","0.9525","0.9525","0.9525"
"136900","0.94375","0.94375","0.94375"
"137000","0.95984375","0.95984375","0.95984375"
"137100","0.904375","0.904375","0.904375"
"137200","0.96828125","0.96828125","0.96828125"
"137300","0.9696875","0.9696875","0.9696875"
"137400","0.96640625","0.96640625","0.96640625"
"137500","0.94890625","0.94890625","0.94890625"
"137600","0.95078125","0.95078125","0.95078125"
"137700","0.55625","0.55625","0.55625"
"137800","0.98765625","0.98765625","0.98765625"
"137900","0.99","0.99","0.99"
"138000","0.9809375","0.9809375","0.9809375"
"138100","0.9634375","0.9634375","0.9634375"
"138200","0.96859375","0.96859375","0.96859375"
"138300","0.94609375","0.94609375","0.94609375"
"138400","0.96703125","0.96703125","0.96703125"
"138500","0.955","0.955","0.955"
"138600","0","0","0"
"138700","0.98421875","0.98421875","0.98421875"
"138800","0.98734375","0.98734375","0.98734375"
"138900","0.99","0.99","0.99"
"139000","0.8921875","0.8921875","0.8921875"
"139100","0.95171875","0.95171875","0.95171875"
"139200","0.949375","0.949375","0.949375"
"139300","0.9659375","0.9659375","0.9659375"
"139400","0.9546875","0.9546875","0.9546875"
"139500","0.9909375","0.9909375","0.9909375"
"139600","0.989375","0.989375","0.989375"
"139700","0.97015625","0.97015625","0.97015625"
"139800","0.95140625","0.95140625","0.95140625"
"139900","0.94609375","0.94609375","0.94609375"
"140000","0.97890625","0.97890625","0.97890625"
"140100","0.9275","0.9275","0.9275"
"140200","0.94609375","0.94609375","0.94609375"
"140300","0.9653125","0.9653125","0.9653125"
"140400","0.67859375","0.67859375","0.67859375"
"140500","0.98234375","0.98234375","0.98234375"
"140600","0.98890625","0.98890625","0.98890625"
"140700","0.98640625","0.98640625","0.98640625"
"140800","0.97984375","0.97984375","0.97984375"
"140900","0.9559375","0.9559375","0.9559375"
"141000","0.9409375","0.9409375","0.9409375"
"141100","0.9434375","0.9434375","0.9434375"
"141200","0.9684375","0.9684375","0.9684375"
"141300","0.960625","0.960625","0.960625"
"141400","0.9434375","0.9434375","0.9434375"
"141500","0.94359375","0.94359375","0.94359375"
"141600","0.96328125","0.96328125","0.96328125"
"141700","0.00640625","0.00640625","0.00640625"
"141800","0.97828125","0.97828125","0.97828125"
"141900","0.98640625","0.98640625","0.98640625"
"142000","0.98","0.98","0.98"
"142100","0.9390625","0.9390625","0.9390625"
"142200","0.9171875","0.9171875","0.9171875"
"142300","0.94078125","0.94078125","0.94078125"
"142400","0.90828125","0.90828125","0.90828125"
"142500","0.97453125","0.97453125","0.97453125"
"142600","0.96953125","0.96953125","0.96953125"
"142700","0.98890625","0.98890625","0.98890625"
"142800","0.985","0.985","0.985"
"142900","0.981875","0.981875","0.981875"
"143000","0.9621875","0.9621875","0.9621875"
"143100","0.97921875","0.97921875","0.97921875"
"143200","0.609375","0.609375","0.609375"
"143300","0.96875","0.96875","0.96875"
"143400","0.97","0.97","0.97"
"143500","0.97109375","0.97109375","0.97109375"
"143600","0.986875","0.986875","0.986875"
"143700","0.98640625","0.98640625","0.98640625"
"143800","0.9721875","0.9721875","0.9721875"
"143900","0.929375","0.929375","0.929375"
"144000","0.94375","0.94375","0.94375"
"144100","0.95828125","0.95828125","0.95828125"
"144200","0.9053125","0.9053125","0.9053125"
"144300","0.9153125","0.9153125","0.9153125"
"144400","0.9371875","0.9371875","0.9371875"
"144500","0.9684375","0.9684375","0.9684375"
"144600","0.41609375","0.41609375","0.41609375"
"144700","0.98234375","0.98234375","0.98234375"
"144800","0.98921875","0.98921875","0.98921875"
"144900","0.9859375","0.9859375","0.9859375"
"145000","0.95734375","0.95734375","0.95734375"
"145100","0.91390625","0.91390625","0.91390625"
"145200","0.96609375","0.96609375","0.96609375"
"145300","0.96375","0.96375","0.96375"
"145400","0.96921875","0.96921875","0.96921875"
"145500","0.76109375","0.76109375","0.76109375"
"145600","0.97078125","0.97078125","0.97078125"
"145700","0.94859375","0.94859375","0.94859375"
"145800","0.96703125","0.96703125","0.96703125"
"145900","0.98765625","0.98765625","0.98765625"
"146000","0.98921875","0.98921875","0.98921875"
"146100","0.96375","0.96375","0.96375"
"146200","0.9671875","0.9671875","0.9671875"
"146300","0.90515625","0.90515625","0.90515625"
"146400","0.960625","0.960625","0.960625"
