"Step","counting_medium_encoder_nope_perm_invariant_0 - loss","counting_medium_encoder_nope_perm_invariant_0 - loss__MIN","counting_medium_encoder_nope_perm_invariant_0 - loss__MAX"
"6500","0.0028457495477050543","0.0028457495477050543","0.0028457495477050543"
"6600","0.004280372117500519","0.004280372117500519","0.004280372117500519"
"6700","0.002076135321840411","0.002076135321840411","0.002076135321840411"
"6800","0.0018922422875766642","0.0018922422875766642","0.0018922422875766642"
"6900","0.0038311067140602974","0.0038311067140602974","0.0038311067140602974"
"7000","0.002445106189115904","0.002445106189115904","0.002445106189115904"
"7100","0.0026728939582244494","0.0026728939582244494","0.0026728939582244494"
"7200","0.0023786483533331194","0.0023786483533331194","0.0023786483533331194"
"7300","0.00465133384859655","0.00465133384859655","0.00465133384859655"
"7400","0.0012227796045772266","0.0012227796045772266","0.0012227796045772266"
"7500","0.002030599357385654","0.002030599357385654","0.002030599357385654"
"7600","0.003279487410618458","0.003279487410618458","0.003279487410618458"
"7700","0.002162357448542025","0.002162357448542025","0.002162357448542025"
"7800","0.0033176393825851847","0.0033176393825851847","0.0033176393825851847"
"7900","0.003546016649052035","0.003546016649052035","0.003546016649052035"
"8000","0.005190692118776497","0.005190692118776497","0.005190692118776497"
"8100","0.0017377261727233417","0.0017377261727233417","0.0017377261727233417"
"8200","0.0018563222339435014","0.0018563222339435014","0.0018563222339435014"
"8300","0.0011180913759744726","0.0011180913759744726","0.0011180913759744726"
"8400","0.004428838532039663","0.004428838532039663","0.004428838532039663"
"8500","0.0014114581857575103","0.0014114581857575103","0.0014114581857575103"
"8600","0.0034520260349381717","0.0034520260349381717","0.0034520260349381717"
"8700","0.0016968457055918406","0.0016968457055918406","0.0016968457055918406"
"8800","0.002453925334411906","0.002453925334411906","0.002453925334411906"
"8900","0.003909376546507701","0.003909376546507701","0.003909376546507701"
"9000","0.0022855173818243204","0.0022855173818243204","0.0022855173818243204"
"9100","0.0024596994592866396","0.0024596994592866396","0.0024596994592866396"
"9200","0.0011390819153166377","0.0011390819153166377","0.0011390819153166377"
"9300","0.0038370561272313354","0.0038370561272313354","0.0038370561272313354"
"9400","0.0017585500401037278","0.0017585500401037278","0.0017585500401037278"
"9500","0.0025869673299894203","0.0025869673299894203","0.0025869673299894203"
"9600","0.0023645580640004483","0.0023645580640004483","0.0023645580640004483"
"9700","0.0022735724825179203","0.0022735724825179203","0.0022735724825179203"
"9800","0.003757379405142274","0.003757379405142274","0.003757379405142274"
"9900","0.0027801099319185595","0.0027801099319185595","0.0027801099319185595"
"10000","0.0033255037399067076","0.0033255037399067076","0.0033255037399067076"
