"Step","counting_extra_small_encoder_perm_invariant_0 - loss","counting_extra_small_encoder_perm_invariant_0 - loss__MIN","counting_extra_small_encoder_perm_invariant_0 - loss__MAX"
"5800","0.0023499921924667435","0.0023499921924667435","0.0023499921924667435"
"5900","0.0037716357712633906","0.0037716357712633906","0.0037716357712633906"
"6000","0.002079552331706509","0.002079552331706509","0.002079552331706509"
"6100","0.002109623515279964","0.002109623515279964","0.002109623515279964"
"6200","0.0030514329549623655","0.0030514329549623655","0.0030514329549623655"
"6300","0.001848379835137166","0.001848379835137166","0.001848379835137166"
"6400","0.002050281743577216","0.002050281743577216","0.002050281743577216"
"6500","0.0020763508108211683","0.0020763508108211683","0.0020763508108211683"
"6600","0.0021180992291192522","0.0021180992291192522","0.0021180992291192522"
"6700","0.003239290079800412","0.003239290079800412","0.003239290079800412"
"6800","0.0014127641130471601","0.0014127641130471601","0.0014127641130471601"
"6900","0.0016634241319843568","0.0016634241319843568","0.0016634241319843568"
"7000","0.01009947156504495","0.01009947156504495","0.01009947156504495"
"7100","0.00142896996345371","0.00142896996345371","0.00142896996345371"
"7200","0.0017795696019311435","0.0017795696019311435","0.0017795696019311435"
"7300","0.0015141067348304206","0.0015141067348304206","0.0015141067348304206"
"7400","0.001446282500110101","0.001446282500110101","0.001446282500110101"
"7500","0.002659812335623428","0.002659812335623428","0.002659812335623428"
"7600","0.0016060888738138601","0.0016060888738138601","0.0016060888738138601"
"7700","0.001623194488347508","0.001623194488347508","0.001623194488347508"
"7800","0.001347817273635883","0.001347817273635883","0.001347817273635883"
"7900","0.001696337350003887","0.001696337350003887","0.001696337350003887"
"8000","0.002949941003753338","0.002949941003753338","0.002949941003753338"
"8100","0.001684114432136994","0.001684114432136994","0.001684114432136994"
"8200","0.001443251115269959","0.001443251115269959","0.001443251115269959"
"8300","0.00171183488011593","0.00171183488011593","0.00171183488011593"
"8400","0.005786568193288985","0.005786568193288985","0.005786568193288985"
"8500","0.0010438670746225399","0.0010438670746225399","0.0010438670746225399"
"8600","0.001283026866731234","0.001283026866731234","0.001283026866731234"
"8700","0.0010005117460968904","0.0010005117460968904","0.0010005117460968904"
"8800","0.0012722121343540494","0.0012722121343540494","0.0012722121343540494"
"8900","0.0013195757905486972","0.0013195757905486972","0.0013195757905486972"
"9000","0.0024173282185802236","0.0024173282185802236","0.0024173282185802236"
"9100","0.0012468389319838025","0.0012468389319838025","0.0012468389319838025"
"9200","0.0014180280236178078","0.0014180280236178078","0.0014180280236178078"
"9300","0.0013220551215636079","0.0013220551215636079","0.0013220551215636079"
"9400","0.0016695571807213128","0.0016695571807213128","0.0016695571807213128"
"9500","0.015225363021891099","0.015225363021891099","0.015225363021891099"
"9600","0.0009675309412705246","0.0009675309412705246","0.0009675309412705246"
"9700","0.001164323272096226","0.001164323272096226","0.001164323272096226"
"9800","0.001197097139811376","0.001197097139811376","0.001197097139811376"
"9900","0.0012090090455603786","0.0012090090455603786","0.0012090090455603786"
"10000","0.00107016728783492","0.00107016728783492","0.00107016728783492"
